Question,Option A,Option B,Option C,Option D,Answer
"The long form of
URL is","Universal
Resource locator","Uniform Resource
Locator","Uniform Reach
location",None of these,B
Ctrl + Z                    ,"Undo the last
action","Redo the last
action",add a new page,Paste,A
Ctrl + Y                    ,"Undo the last
action","Redo the last
action",add a new page,Paste,B
Ctrl + X                    ,Cut,Home,Copy,Paste,A
Ctrl + X                    ,Cut,Home,Copy,Paste,A
Ctrl + J                    ,Left align,Right align,Justify align,All of these,C
"Last column of the worksheet window is
XFD.",TRUE,FALSE,,,A
"The TODAY()
functions enters the",System Date and Time,System Time,System Date,System Day,C
Serial Z-A means         Sorting of text,Descending,Ascending,Vertical,Numeric,A
Serial A-Z means         Sorting of text,Descending,Ascending,Vertical,Numeric,B
"Rows and Columns
are data grid.",TRUE,FALSE,,,A
WMF means,Windows Metafile,"Windows Map
Frame",Windows Main File,"Windows Main
Frame",A
WMF means,Windows Main File,Windows Metafile,"Windows Map
Frame","Window Main
Frame",B
BMP means,Bitmap Page,Bitmap Image,Bitwise Image,Bitmap Picture,B
"Logo can be added
to a slide",TRUE,FALSE,,,A
"WMF means
...............",Windows Metafile,"Windows Map
Frame","Window Main
Frame",Windows Main File,A
"Internet Explore is one of the best example of Output
Device",TRUE,FALSE,,,B
"Sending files with e-
mail is         ",Slides,Attachment,Workbook,Document,B
"Which of the following is used to search content
online?",Social networks,Search engine,Screensers,Routers,B
"Forward mean sending
                           mail to some other mail
id.",Deleted Mails,Received Mails,Composed Mails,None of these,B
"In Windows 7, pressing key Esc
will                                
_",Redo an action,Undo an action,Display Menu,Cancel the current task,D
"Compact disk and                  disk
are the examples of optical disks.",Hard,Digital Versatile,Floppy,Magnetic,B
"                                is  a video file
type.",.mp4,.txt,.png,.mp3,A
DNS is acronym of,"Domain name
service","Domain name
system","Domain Naming
system","Detailed name
system",B
"The main  Computer of the
Network is called?",Client,Router,Modem,Server,D
"The Process of clicking the mouse button once, is known as",Double,Single,Triple,Drag,B
"Arial, Arial Black are the
examples of             ",Word Art,Fonts,Font Styles,Indents,B
"We can create  Cover page in
Ms-word",TRUE,FALSE,,,A
We can't insert picture by using Insert Tab key of Picture command in Word document.,TRUE,FALSE,,,B
"Status bar is displayed on the
                                       Side of Microsoft Word Application window.",Left,Right,Top,Bottom,D
"Increase indent button is given in                               Group of
Home Tab.",Standard,Paragraph,Status,Drawing,B
"Toolbar above File Menu and
left hand side of Title bar is called as                                 ",Status,"Quick
Access Tool Bar",Access,Tool,B
"In VLOOKUP/HLOOKUP,
                 parameter means approximate match.",0,2,10,1,D
"The Default file name in Excel
is                                 ",Document1,"Presentatio
n1",Textfile1,Book1,D
"The active cell in MS excel 2010 can be recognized by a broad black border and it is
referred as",cell highlighter,cell opener,cell targeted,cell pointer,D
Modem Means,Analog Signal,"Modern
Equipment",Digital  Signal,"Modulation
Demodulation",D
Email means,Excellent mail,Electronic Mail,Emergency mail,Electric mail,B
HTTP stands for,Hypertext transport policy,"Hypertext transport
permission",Hypertext transport port,"Hypertext transfer
Protocol",D
What does HTTP stands for,Hypertext transport policy,"Hypertext transport
permission",Hypertext transport port,"Hypertext transfer
Protocol",D
Rom stands for                      ,"Rapid Object
Memory","Read Only
Memory","Read Object
Memory",None of these,B
Ctrl + U                      ,"Underline the previously
deleted text",Undo the last changes,Underline the document name,Underline the selected text,D
Drop Caps means                     ,Small Caps,Title case,All Caps,None of these,D
Ctrl + C means                            ,"Copy the
selected text","Cut the
selected text","Print the
selected text","Paste the
selected text",A
Drop Cap mean                    ,Small Caps,Title case,All Caps,None of these,D
            Cannot be resized.,Dialog box,Window,Word,Wizard,A
Cell in MS Excel 2010 is a           ,intersection of only rows,intersection of only columns,"intersection of
rows and columns",None of these,C
MS Excel 2010 is powerful            ,"spreadsheet
package","operating
system","programming
language",All of these,A
"Worksheet Collection is called
as             ",Workbook,Work note-book,"Work
Document",Chart Book,A
A Workbook may contain many,Worksheet,Column,Row,Pages,A
"In Excel                 Is present by
Default",Border,Gridline,Graph,Filter,B
"You cannot view Ruler in
PowerPoint.",TRUE,FALSE,,,B
"We can provide date and time to
slides",TRUE,FALSE,,,A
BMP means                                   ,Bitmap Page,Bitmap Image,Bitwise image,Bitmap Picture,B
You cannot add graphs to a slide,TRUE,FALSE,,,B
"How can you see all your chart
at once?","through slide
view","through
reading view","through slide
sorter view","through normal
view",C
"Normally Internet Explorer icon
is given on desktop.",TRUE,FALSE,,,A
"GUI stands for Graphical User
Involvement.",TRUE,FALSE,,,B
The term HTTP stands for,"Hyper Text
Transfer Protocol","Hypertext
Tracing Program",Hyper Terminal Tracing,"Hypertext
Tracing Protocol",A
"Characteristics of computer
are                   ",Speed,Accuracy,Diligence,All of these,D
        Is the machine that makes www documents available.,Server,Printer,Monitor,Mouse,A
"Sd in memory card
stands for                    ",Safe Disk,"Secure
Digital",Safe Digital,"None of
these",B
"                    Is not input
devices",Mouse,Webcamera,Microphone,Headphone,D
"URL stands for Uniform
Resource Location.",TRUE,FALSE,,,B
"64-bit Microprocessor can access                  
bytes at a time.",2,16,64,8,D
"In Gmail the maximum size of an attachment which is sent on email
is                       ",25MB,10MB,5MB,20MB,A
"In Mailings Tab, ........ option can be used to create new list of
contacts.",Address,Letter,New List,None of these,C
"We cannot create Presentation Slides in
Ms-Word.",TRUE,FALSE,,,A
"Thesaurus tool in Ms- Word is used for
.........................",Grammar option,Cross- Reference,Data,Spelling suggestions,#
"                       cancels
command given earlier",Repeat,Redo,Undo,Cancel,C
"Formula always start with the                          
sign",(=),(+),($),(*),A
".             function returns
the position in a cell range given to a value.",VLookup,Hlookup,Lookup,Match,D
"In excel to perform mathematical operations
                       can be
used.",Autofill,Text,Mid,Formula,D
"To print a sheet used
.                  command",Ctrl+P,Alt+P,Alt+Ctrl+P,"Shift +
Ctrl+P",A
"In MS-Excel, we  can define new  name  for the selected                     range using name
manager.",Table,Vale,Cell,Formula,C
"Addition of cells B4 & F7 can be done using
            Formula",#VALUE!,#VALUE!,=B4@F7,#VALUE!,B
"You can create video of PowerPoint presentation using save and send
option.",TRUE,FALSE,,,A
"In PowerPoint we can insert                               to illustrate and compare
data.",Clip Art,Chart,Illustration,Data,B
"In                             view sequence of matter can be changed by selecting
the slide.",Outline,Normal,Notes Page,Slide sorter,A
"To set timing for the slides  for slide show
                   facility can be
used.",Slide show,Custom show,Rehearse Timing,Set Time,C
"To insert clipart on a slide we use               
command in Insert Tab",Picture,ClipArt,Shapes,Chart,B
The software that finds documents for us on the web using keywords,Spider,Search Engine,Document Search,Browsers,B
"Is it possible to forward
email, by clicking on compose button?",It is possible,It's not possible,Sometimes its possible,None of these,B
.bmp type of file can be created using,Notepad,MS-Word,MS-Excel,MS-Paint,D
"From                        We
can recover E-Mail, those are deleted from inbox.",Outbox,Drafts,Trash,Spams,C
"It is possible to recover
emails deleted from trash.",TRUE,FALSE,,,A
"                           acts as a wall in between our
computer and Internet.",Network,Server,Client,Firewall,D
"The biggest network in the
world is                        ",Internet,MAN,LAN,"None of
these",A
"In Email
message                    is very important.",Address,Subject,Attachmen t,Sender,A
"Scanner is                    type
of device.",Input,Output,Memory,Control,A
Capacity of CD-RW is,500 MB,4.7 GB,700 MB,1 TB,C
"                                   option
is used converts text to columns",Change,Convert,Text to column,Data,C
"We can insert pictures by using                                    Tab key of Picture command in Word
Document.",Insert,Home,page Layout,View,A
"                       can be used to set margins and indents
in Document.",Status Area,Ruler Line,Status Bar,Toolbar,B
"                                     is containing of Rows and
Columns.",Text Box,Rectangle,Borders,Table,D
"We can set number of every page
using                      option",Number,Insert,Page Number,Page no,C
"                    is NOT valid
numeric form in Match function of MS-Excel.",Match Type(10),Match Type(0),Match Type(1),Match Type(-1),A
In MS- Excel Accounting number format can be applied  by using          group in home tab.,alignment,styles,cells,number,D
If you delete content of cells using delete key then,only format is deleted,"The content
deleted",both get deleted,None of these,B
"Which is a correct answer for =int(123.44) in MS
Excel 2010 ?",123,123.45,123.46,124,A
"In MS Excel How to insert
Hyperlink",Ctrl+L,Ctrl+k,Ctrl+R,Ctrl+1,B
"In Pagemaker Polygon
can have maximum 100 sides",TRUE,FALSE,,,A
"If we  right click on text matter             menu will be
open",File,Quick Access,Edit,Window,B
"Title, content and Header
are the components of the slide",TRUE,FALSE,,,A
"Object can be rotated with
.                    option from
the Format Tab",Rotate,Shapes,Flip,Format,A
"                              view is
useful to type matter on slide.",Print Layout,Outline,Normal,Nome of the above,C
Which one of the following is correct email address?,myemail@ gmail.com,@gmail.co m,myemail@ gmail,myemail.g mail@com,A
"                             are used for virus detection and
deletion.",Antivirus,hardware,Flash Drives,DVD,A
"                     memory device is built in a
computer's CPU Cabinet.",CD,Pen drive,Hard Disk,Floppy disc,C
"Separation of Domain name and Domain Code is
done by                      ",Dot(.),Exclamatio n (!),Question Mark (?),Star (*),A
"A domain name ending with "".com"" is                      ","An
organizatio n","A
commercia l site","A
governmen t Site","A
Educationa l site",B
CD stands for               ,Circular Disk,Compact Drive,Circular Drive,Compact Disc,D
Linux is                 ,OS,Application,Language,Program,A
Internet  means,Internal Network,Local Area network,"Interconnected network of
computers",None of these,C
Use of HTML,"Machine
language",Web page,"High level
language","Programming
language",B
What is browser?,Data compression method,Enable to create chat room,"software used to create and display web
page",None of these,C
Open option is available in File Menu,TRUE,FALSE,,,A
This is not a font type        ,Bold,Arial,Calibri,"Times New
Roman",A
What does Ctrl + = key effect?,Superscript,Subscript,All Caps,Shadow,B
MS-WORD is an example of             ,Hardware,web page,"System
software","Application
Software",D
Drop Cap means                               ,All Caps,Small Caps,Title case,None of these,D
"The Name of the Sheets in Workbook
can be changed",TRUE,FALSE,,,A
Worksheet is also called as,Spreadsheet,Page,Workbook,Worksheet,A
Ms Excel Extension is                      ,.pptx,.xlsx,.pdf,None of these,B
In Excel Redo Short Cut key,Ctrl+ Z,Ctrl + Y,Ctrl + S,Ctrl + X,B
The default Column width is           ,11,8.43,9,10,B
Ctrl+D is a shortcut key of                      ,"Creating a
duplicate object","Changing the
layout of the active","Deleting a
slide from the presentation",Inserting a new Slide,A
.pptx is the extention of Power Point,TRUE,FALSE,,,A
Which is default view in Power Point?,Normal,Notes Page,Slide Sorter,Outline,A
What is use of PPT?,Slides,Document,Files,Presentations,D
Powerpoint is used for                            ,Teaching,Marketing,Animation,All of these,D
"Attachment buttons show                        
icon on it.",U pin,M Pin,N pin,W Pin,A
What files can you attach to an Email?,Only files less than 256 kbyte,"Only
Document Files",Any File,Only Batch Files,C
Main computer on Network is called as,Client,PC,Server,Leader,C
"                                         is acronym for
the address webpage.",LOC,IPSA,VRL,URL,D
                           is an internal memory.,CD,RAM,DVD,Flash Drive,B
TB Means,Tetra Byte,Top Byte,Tera Byte,Tertiary Byte,C
Os means                      ,"Operating
System","Operation
System",Open System,Old System,A
Cd stands for,Clear Disk,Clean Disk,Compact Disk,None of these,C
1 kb =                         ,1024 Bytes,512 Bytes,1024 Mb,None of these,A
URL means what,"Uniform
Resource Location.","Uniform
Research Location.","Uniform
Resource Locator","Universal
Resource Location.",C
"Basic shapes comes
under             tab",Review,View,Insert,Page Layout,C
"Print option is given in
         Menu.",View,Edit,File,Windows,C
"print option available
in           Menu",File,view,insert,None of these,A
"F12
is                      type key",Function Key,Normal,Text,control key,A
"Print option is given in
                     Menu.",View,File,Edit,Window,B
"          is containing
rows and columns",Text Box,Rectangle,Borders,Table,D
"The Unit of row height
is           ",Meter,Points,Cent Meter,Mile Meter,B
"Which is not a function in MS Excel
2010?",avg(),sum(),count(),countif(),A
We can add more sheets in a Workbook.,TRUE,FALSE,,,A
"At a time only one Cell
can be active.",TRUE,FALSE,,,A
"Default name of
presentation is",Presentation1,Document1,Workbook1,None of these,A
.pptx is the extension of Power Point,TRUE,FALSE,,,A
"You can create Database in MS
PowerPoint",TRUE,FALSE,,,B
"Options to insert slide
numbers are?",Insert=>Page No,Insert=>Slide No,"Insert=>Text
Group",Insert=>Table,B
"In which view you can
see notes regarding to slide?",Note Page,Slide,View,Slide sorter,A
"Any unwanted or
unsolicited Email is spam",TRUE,FALSE,,,A
"                           are
two important parts of E-Mail",Subject and body,Subject and reference,Reference and message,Reference and body,A
"                               is NOT an example of
antivirus.",Quick Heal,Net Protector,C++,Norton,C
"                       Is an example of Application
Software.",Interpreter,Operating System,Browser,Compiler,C
HTML is used to create      ,"Machine language
Program",High level program,Web Page,Web server,C
"BAUD rate is measured
in                                    unit.","Bytes per
seconds","Bits per
minutes","Bits per
Seconds","Bytes per
Minutes",C
"The parts of the Computer
that we can touch or see is",Virus,Software,Hardware,Antivirus,C
"IBM is the                                 
manufacturing company",Microproce ssor,Application,Program,O.S.,A
"                     memory is
erased on power cut",Cache,ROM,RAM,All of these,C
"                            Generation used silicon chips as
Integrated Circuits ( I. C. )",First,Second,Third,Fourth,C
can we insert rows in table,TRUE,FALSE,,,A
"In MS-Word we use ctrl+r shortcut key is used for         
alignment",left,right,center,None of these,B
"To update recipient list
                       option is used","Insert Merge
Field",Merge Field,Greeting Line,Edit Recepient,D
"We can exit from Ms-Word 2010 application by clicking
.               Command from
the menu.",Open,Close,Save,Exit,D
"If you want to print active page                      option is
used",Active Page,Page,Current Page,None of these,C
Special Symbol insert from,"Insert =>
Symbol","Date=>Sy
mbol","Page=>Sy
mbol","Formulas=
> Symbol",A
"= LEN() is used to find the
length of the string.",TRUE,FALSE,,,A
"Pressing ENTER key cell
pointer moves to",Next row,"Next
Column",Up row,Right cell,A
"                   command is used
for error checking in MS- Excel.",show error,display error,debug,Trace error,D
In Spreadsheet,,,,,
Function makes the given content capital.,=Upper( ),#NAME?,=Lower( ),#NAME?,A
"In PageMaker,  Text size option is available
on menu bar.",Element,Type,view,File,B
"The components of a
slide are                    ",Title,Content,Header,All of these,D
File is a 'Set of Data',TRUE,FALSE,,,A
"Outlook is Email
Client",TRUE,FALSE,,,A
Digital Computers can give more accurate and faster results.,TRUE,FALSE,,,A
"                           is NOT an example of
Operating system",Windows 7,DOS,Unix,Norton,D
"Pressing key F4 in Windows 7
will                           ","Display address bar list in windows
explorer",Close the active program,Open Task Manager,Rename folder,A
"Data can be permanently stored in                    even after switching off the
computer.",Primary Storage,Secondary Memory,Output,Input,B
"                      indicates the website is of commercial
type.",.org,.com,.gov,.mil,B
"                     is open platform by Internet for people to interact and share their
thoughts.",Shopping cart,Social Networking,Ecommerc e,Trading sites,B
"Facebook is developed by
Mark Zukerberg.",TRUE,FALSE,,,A
"RAM means Random
Access Memory",TRUE,FALSE,,,A
"In         We can store the required different formatting
by placing name for it.",Styles,Defaults,Formats,Templates,A
"In Ms-Word, we can use the Horizontal Ruler
to..................",To set indents,To set the tabs,"To change the page
margins",All of these,D
"                      option adjusts the gap between two
characters .",Spacing,Kerning,Joining,None of these,B
When word gets loaded the opening screen displays a document named,Document,Document 1,Doc1,doc2,B
"To write a text matter in Tabular Format,
facility",Formatting,Table,Tool,Insert,B
provided by word,,,,,
"While typing a function / formula, we have to start
with the symbol ""=""",TRUE,FALSE,,,A
"Sort.command is used to
                   the data in MS- Excel.",Merge,Filter,Wrap,Sort,D
"ctrl + page down is used to go to next worksheet  in MS
Excel 2010",TRUE,FALSE,,,A
"ctrl + pg up is used to go to next workbook  in MS Excel
2010",TRUE,FALSE,,,B
"Where we find the  values , labels and formulae that we type in active cell in MS
Excel 2010?",name box,sheet tab area,address bar,formula bar,D
"In PageMaker Rectangle tool is used to draw
Rectangle.",Draw line,Draw Rectangle,Draw polygon,None of these,B
"In PageMaker CROP tool is
used to crop objects.",TRUE,FALSE,,,A
"Following color modes are
available in PowerPoint.",Color,Gray scale,"Black and
White",All of these,D
For changing layout of slide select Home=>                    group=> Layout option.,Slide,Font,Number,Styles,A
"The file in which slides made from PowerPoint are stored is known as
file.",Document,Database,Worksheet,Presentatio n,D
"                              is used for
internet surfing",word,browser,excel,"None of
these",B
                            is accepting information from server,server,client,node,None of these,B
"The client PCs can communicate with each other within the network
through server only",TRUE,FALSE,,,A
"To go to previous page
                     key is used in Internet Explorer.",Backspace,Esc,Home,Page Up,A
"                                         is the protocol, to transfer the data
in the form of text",SMTP,HTTP,FTP,PPPT,B
What do you mean by browser?,"software used to create and display
web page",Enable to create chat room,Data compression method,None of these,A
HTML similar to,"Scripting
Language",Screen Editor,Word Processor,Search Engine,A
1 Byte =           Bits,2,4,8,12,C
1 gb =                            ,1000 Bits,1024 Bits,1024 Mb,1024 Tb,C
Pdf stands for,Portable Document Format,Parallel Document Format,Portable Data Form,None of these,A
"You can see page
number in       view",Home,Normal,Web layout,Print Layout,D
"We can't rotate text in
the table.",TRUE,FALSE,,,B
"MS Word Is Application
Software",TRUE,FALSE,,,A
"In MS Word text can be
made Italic by",Ctrl + I,Ctrl + B,Ctrl + U,None of these,A
"Dialog box can be
resized",TRUE,FALSE,,,B
Which is not a function in MS Excel 2010 ?,proper(),sumif(),largest(),round(),C
"The ""Bar chart "" is supported in MS Excel
2010",TRUE,FALSE,,,A
"Shortcut key for Help in
Excel is",F1,F2,F3,F4,A
MS-Excel is      type of Application Software,Word Processor,Spreadsheet,Image Editor,Presentation Maker,B
"Below the worksheet area, we get",Name Box,Tabs,Formula Bar,Sheet Tabs,D
"The components of a
slide are               ",Title,Content,Header,All of these,D
The components of a slide are ....................,Title,Content,Header,All of these,D
In a PowerPoint presentation        ,"Sound clips can
be inserted but not movie clips","Movie clips can be
inserted but not sound clips",Both cannot be inserted,Both can be inserted,D
"Below the slide pane
we get the Outline Pane.",TRUE,FALSE,,,B
BMP means                 ,Bitmap Page,Bitmap Image,Bitwise Image,Bitmap Picture,B
"LED stands
for                              ","Laser Emerging
Diode","Light Emitting
Diode","Layer Emitting
Diode","Light Emitting
Device",B
"Internet is made of
many                            ",Networks,Cables,CPU,Servers,A
"                                    is
an E-Mail program.",MS Word,Outlook express,MS Excel,MS Access,B
In E-Mail BCC stands for,Brown carbon copy,Black carbon copy,Blind carbon copy,Blind copy to copy,C
"                     Is an
example of input unit.",Monitor,Mouse,Printer,Speaker,B
"ALU stands for Arithmetic & Logic
Unit",TRUE,FALSE,,,A
"In digital computers data is interpreted in
                       signals.",0 & 1,2 & 3,100 & 200,10 & 20,A
"                       printers use toner to print on
paper.",Ink Jet Priters,Dot Matrix Priters,Laser Printers,Plotters,C
Secondary memory is permanent memory.,TRUE,FALSE,,,A
Typically data storage capacty of flash drive is                        ,"2 Gb - 64
Gb","2 Gb - 10
Gb","100 Gb -
1000 Gb",None of these,A
Word Processing Software is used to process the ..............,Text,Presentation,Animation,Pagemaker,A
"We can add callouts from                           
option",Insert,Page Layout,View,Shapes,D
                     Shortcut key is used to paste a matter in MS-WORD,Ctrl + V,Alt + V,Ctrl + C,Ctrl + D,A
"To select any paragraph in document,              With mouse on
paragraph.",Single Click,Triple Click,Double Click,Right Click,B
"In Ms-word grammer mistakes  displayed with the                    
color",Red,Black,Yellow,Green,D
"Delete sheet Command is given in
                    tab.",Tools,Home,View,File,B
"In MS-Excel, we  can remove given name  for the selected cell range using                    ",Name Manager,Name Changer,Name Editor,Name Chart,A
"Ctrl + PgDn combination is used to move to the next
worksheet.",TRUE,FALSE,,,A
"In MS-Excel, with the help of                     comparison of information in table
becomes easy.",Filter,Graph,Sort,Data,B
"In VLOOKUP/HLOOKU
P,                    
parameter means exact match.",0,2,10,1,A
"If you           a slide it will not be shown in the full screen slide
show.",show,close,hide,exit,C
"To select object, image, hanger in PageMaker               
tool is used",Text,Crop,Pointer,Line,C
"                       is not available in
PowerPoint.",Spelling Checker,Thesaurus,Translate,None of these,D
"In PageMaker,
                   tool is used to  type, select, and edit text.",select tool,Line tool,Rotate tool,Text Tool,D
"In PowerPoint
                   is a layout of slide.",Title slide,Master slide,Main slide,None of these,A
"F1 is used to refresh
the active window",TRUE,FALSE,,,B
"                      is the most common Internet
Protocol.",TCP/IP,HTML,IPX/SPX,Net/Up,A
"Internet Explorer is
                     type of software.",Word Processor,Spreadsheet,Web Browser,Presentation Maker,C
"A File download means moves a copy of file on local host to
remote host.",TRUE,FALSE,,,B
Server give the permission to client to share                              On the networks,Web Browser,Hyperlink,Resources,Metro Area Network,C
Dos stands for                    ,"Disk Operating
System","Dot Operating
System","Disk Optimum
System","Dot Optiplex
System",A
Windows-7 is an,OS,Application,Language,Program,A
USB stands for                        ,"Universal Serial
Board","Universal Serial
Bus","United Secured
Bus","United Secure
Board",B
URL is abbreviation of,"Uniform
Resource Location.","Uniform
Research Location.","Uniform
Resource Locator","Universal
Resource Location.",C
"JPEG stands for
=                           ",Joint Photographic Experts Group,Joint Photographic Exchange Group,Joint Photographic Experts Graph,Joint Photo magic Experts Group,A
"                                      can not
be resized",Window,Word,Wizard,Dialog Box,D
"Word is                          Type
of software",System Software,Application,End user,Antivirus,B
"Calibri,Mangal are the
examples of          ",Font,Font styles,Word Art,Indents,A
"You can change text direction
in Table",TRUE,FALSE,,,A
CTRL+D is shortcut key of                ,"changing the layout of the
active",Creating a duplicate object,Changing Font,None of these,B
"In Excel Types of Sorting
are                     ","Increase-
Decrease",High-Low,"Ascending-
Descending",None of these,C
"Which is chart type  in MS
Excel 2010 ?",Radar,column,row,cell,A
"In Excel symbol can be inserted using                    
menu",Home,Insert,Page Layout,Review,B
"In a single worksheet we have
                              Columns",16384,15584,13384,12284,A
"Fill Command is provided in
                     Tab",Home,Tools,File,Format,A
"You can insert graph in MS
PowerPoint file.",TRUE,FALSE,,,A
"Slides Can be created in MS-
PowerPoint.",TRUE,FALSE,,,A
"Slide show can be created
using                        ",MS-Word,MS-Excel,HTML,MS-PowerPoint,D
"Slide Show Can be created in
MS-PowerPoint.",TRUE,FALSE,,,A
"One can insert charts in
PowerPoint presentation.",TRUE,FALSE,,,A
"""HTML"" is acronym for what?",Hypertext Markup Loop,High Tone Modifier Loop,"Hypertext
Markup Language",None of these,C
"What type of switching does
internet work on?",Lines,Circuit,Packet,Bits,C
"PDF stands
for                                      ",Prime Document File,Portable Disk File,Private Disk Format,"Portable
Document Format",D
"                Is an example of
programming language.",Unix,Windows NT,C++,Linux,C
                           Is the biggest Network in the world.,LAN,MAN,WAN,Internet,D
"The most common input devices used in computer are
and Mouse.",Joy Stick,Scanner,Keyboard,Printer,C
Ctrl + x =                             ,"Cut
selected items","Copy
selected items","paste Selected
Items",Undo an action,A
"                  type of computer uses meter to show the comparison between two
things.",Analogue,Digital,Super,Mainframe,A
"                            is impact
printer","Ink Jet
Priters","Dot Matrix
Priters","Laser
Printers",Plotters,B
"The devices Microprocessor is used for                           
process.",Bitwise,Arithmetic & Logical,Virtual,Binary,B
"When we click outside of Word Art text box the typed
Word Art gets fixed",TRUE,FALSE,,,A
"Undo option is given in
                                  Of Toolbar.",File,Window,Format,Quick Access,D
"                                        is the shortcut-key for manual line
break.","CTRL +
Enter",Alt + Enter,Shift + Enter,Space + Enter,C
"In MS-Word 2010 change case option is available
on           Group of Home Tab",Arrange,Clipboard,Font,Styles,C
"we can resize images in Ms-
word",TRUE,FALSE,,,A
"Given the syntax of the Lookup Function                is
the column where the Lookup
Value given is found.",Lookup Value,Lookup Vector,Column Index,True / False,B
"In Lookup Function, parameter 0 stands as False.",TRUE,FALSE,,,A
A Blank Cell has the numeric Value of                             ,Blank,Zero,Space,Null,B
"Default Column Width in
Excel is",7.43,8.43,6.43,9.43,B
"To open a new worksheet file -
-- command is used",Open,New,Sheet,Blank,B
"By pressing
                                     key we can stop the running slide show.",Close,Exit,Escape,None of these,C
"Which of the following are text flow options in
PageMaker?",Standard,AutoFlow,Semi-Auto Flow,All of these,D
"                   is powerful
software for making presentation material.","MS-
PowerPoint",MS- Word,"MS-
Outlook",MS-Excel,A
"In PageMaker,  to draw line
tool is used.",Circle,Ellipse,Rectangle,Line,D
"In PowerPoint, Change case
effect is added by using
option",Home - styles,Home  - alignment,"Home- Font
command",None of these,C
"We can see HTML code of
open webpage from browser.",TRUE,FALSE,,,A
"It is possible to reply received
email.",TRUE,FALSE,,,A
www.google.com is an example of                      ,Email Service,Search Engine,"Social networking
Site",None of these,B
"New data can be copied in
type of DVD.",DVD-R,DVD-RW,All of these,"None of
these",B
"Magnetic disk are used to
store                      amount of data.",small,Large,Little,medium,B
1  tb =                            ,100 Mb,100 Gb,1024 Mb,1024 Gb,D
Vdu stand for                 ,"Visual Display
Unit","Video Display
Unit",Video Dual Unit,None of these,A
1024 gb =,1 Kb,1 Mb,1 Gb,1 Tb,D
Kb stands for,Kilobyte,Kilobit,Kilobank,None of these,A
Alu means                      ,"Automatic Logic
Unit","Arithmatic Long
Unit","Arithmatic And
Logical Unit",None of these,C
"Portrait and
Landscape are",Page Orientation,Paper Size,Page Layout,All of these,A
You can change page size using         tab,Home,Insert,Page Layout,View,C
"Open option is given in
                           Menu.",File,Formatting,Status,Drawing,A
Open option is available in           menu,Status,File,Insert,Formatting,B
"We can               in MS-
Word 2010.",table draw,insert table,insert picture,All of these,D
MS Excel Extension is,.pdf,.xlsx,.pptx,None of these,B
"A single worksheet
has             rows","10,48,576","11,00,000","12,00,000",None of these,A
"By Pressing Ctrl + S ,
                              action is done.",Open file,new file,Save  file,Exit file,C
Which of the following is not a correct statement regarding MS Excel 2010 ?,It's a spreadsheet package,It can be used to create charts,It is used to draw images,It has columns and rows.,C
"We  can save Excel
file in Pdf.",TRUE,FALSE,,,A
